artist,track_name,track_id,release_year,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
Govind Vasantha,The Life of Ram,3hXX5v2JaVqDR3aeQcPAU9,2018,354285,61,0.277,0.496,0.488,2.39E-06,0.183,-9.799,0.0306,83.945,4,0.347
Sid Sriram,"Nira - From ""Takkar""",1VxCdnd46iCgHP5zXGCXPe,2020,304772,57,0.139,0.674,0.767,1.39E-06,0.208,-5.049,0.0469,88,4,0.56
Santhosh Narayanan,Aval,4LK8863ScRhhT6hitFfBI5,2016,266639,61,0.271,0.324,0.457,2.65E-05,0.433,-8.683,0.0336,99.902,4,0.225
A.R. Rahman,Hosanna,3l7JaDIJmWMpvcJqhTJjrk,2010,330546,63,0.166,0.582,0.812,0.00162,0.0407,-6.147,0.0418,86.051,4,0.7
Anirudh Ravichander,Oh Oh - The First Love of Tamizh,3B4Wf3Fo11BXSuVPi1dtDO,2015,276705,59,0.413,0.594,0.587,0.00013,0.0904,-8.705,0.0268,85.002,4,0.448
Harris Jayaraj,Silu Silu,28BCNRMaHo6kV9m8j8W927,2017,321373,52,0.358,0.795,0.463,0.000541,0.0694,-8.781,0.0405,95.001,4,0.485
Harris Jayaraj,Nenjukkul Peidhidum,4vlMdXsRpAIXYggwbNHZSv,2008,369333,66,0.6,0.687,0.43,2.49E-06,0.132,-10.31,0.0407,115.01,4,0.241
G. V. Prakash,Ayyayo,5DYfTyqUNBmOnQtljQjYk2,2010,324373,65,0.499,0.608,0.705,0.000124,0.0878,-5.525,0.0364,75.031,4,0.733
Yuvan Shankar Raja,High On Love,6kekHWEQ4SyMe5EjYAlveP,2018,240169,64,0.214,0.627,0.779,9.34E-06,0.112,-4.944,0.0392,149.929,4,0.619
Santhosh Narayanan,Ennadi Maayavi Nee,47Cd4WP1ZOK8WXC68kqZ03,2018,251000,64,0.834,0.55,0.246,0.00279,0.0977,-12.503,0.03,119.836,3,0.218
Hiphop Tamizha,"Dhom Dhom - From ""Naan Sirithal""",3fihA5oRA7gV07YfyKFkLB,2019,181962,45,0.277,0.651,0.941,2.22E-06,0.163,-3.542,0.147,89.993,4,0.555
G. V. Prakash,Akkam Pakkam,3eeUvZTgP5uJfOMqI3sUVq,2009,316000,57,0.108,0.773,0.628,0.00119,0.246,-6.737,0.0425,119.96,4,0.588
Santhosh Narayanan,Mogathirai,4z5aoK0yI5kgbikXoWLWfB,2012,227017,51,0.635,0.523,0.264,4.02E-05,0.1,-9.428,0.0415,199.671,4,0.504
Anirudh Ravichander,Oh Penne,1zAkNzJZVPrWDCnowb1vpZ,2013,276400,65,0.573,0.483,0.65,2.97E-05,0.228,-6.752,0.0349,94.988,4,0.637
Various Artists,Nillayo,1YDAO1jQ59Dw0xRqDmE1pB,2017,252688,34,0.776,0.664,0.451,0.000181,0.149,-6.95,0.0278,144.919,3,0.304
Harris Jayaraj,Aathadi Aathadi,3JXi13LlcYzagKRNokd3Zt,2014,352426,55,0.347,0.753,0.449,0,0.219,-7.631,0.0288,134.891,3,0.557
